Using MPS device for macOS
Using device: mps
Episode 126/3000 | Total reward: -1.00 | Avg loss: 1.0771 | Epsilon: 0.882 | LOSE | MEMORY_SIZE: 257 | SEED: 597
Episode 127/3000 | Total reward: -1.00 | Avg loss: 1.0260 | Epsilon: 0.881 | LOSE | MEMORY_SIZE: 259 | SEED: 597
Episode 128/3000 | Total reward: 6.00 | Avg loss: 1.3514 | Epsilon: 0.880 | LOSE | MEMORY_SIZE: 264 | SEED: 597
Episode 129/3000 | Total reward: 9.00 | Avg loss: 1.3273 | Epsilon: 0.879 | LOSE | MEMORY_SIZE: 266 | SEED: 597
Episode 130/3000 | Total reward: -1.00 | Avg loss: 0.8660 | Epsilon: 0.878 | LOSE | MEMORY_SIZE: 268 | SEED: 597
Episode 131/3000 | Total reward: 17.00 | Avg loss: 0.6136 | Epsilon: 0.877 | LOSE | MEMORY_SIZE: 272 | SEED: 597
Episode 132/3000 | Total reward: 9.00 | Avg loss: 1.7014 | Epsilon: 0.876 | LOSE | MEMORY_SIZE: 274 | SEED: 597
Episode 133/3000 | Total reward: 0.00 | Avg loss: 1.9147 | Epsilon: 0.875 | LOSE | MEMORY_SIZE: 275 | SEED: 597
Episode 134/3000 | Total reward: 0.00 | Avg loss: 0.9292 | Epsilon: 0.875 | LOSE | MEMORY_SIZE: 276 | SEED: 597
Episode 135/3000 | Total reward: 17.00 | Avg loss: 1.2426 | Epsilon: 0.874 | LOSE | MEMORY_SIZE: 280 | SEED: 597
Episode 136/3000 | Total reward: 0.00 | Avg loss: 2.0784 | Epsilon: 0.873 | LOSE | MEMORY_SIZE: 281 | SEED: 597
Episode 137/3000 | Total reward: 9.00 | Avg loss: 1.4958 | Epsilon: 0.872 | LOSE | MEMORY_SIZE: 283 | SEED: 597
Episode 138/3000 | Total reward: 27.00 | Avg loss: 1.8250 | Epsilon: 0.871 | LOSE | MEMORY_SIZE: 287 | SEED: 597
Episode 139/3000 | Total reward: 0.00 | Avg loss: 4.1584 | Epsilon: 0.870 | LOSE | MEMORY_SIZE: 288 | SEED: 597
Episode 140/3000 | Total reward: 0.00 | Avg loss: 1.3678 | Epsilon: 0.869 | LOSE | MEMORY_SIZE: 289 | SEED: 597
