episode,reward,avg_loss,loss_std,reward_std,win,lose,length,max_q,min_q,mean_q,epsilon
211,0,9.382522583007812,0.0,0.0,0,1,1,7.2450047,-0.8696535,2.6410143,0.986206
212,-0.9,3.29620361328125,0.7394099235534668,0.0,0,1,2,7.2738943,-0.8628378,2.6546903,0.98614
213,0,5.9317626953125,0.0,0.0,0,1,1,7.319166,-0.86475265,2.683478,0.986074
214,0,7.626316547393799,0.0,0.0,0,1,1,7.3678613,-0.86729175,2.7024207,0.986008
215,0,7.842456340789795,0.0,0.0,0,1,1,7.383495,-0.8706722,2.710729,0.985942
216,17.299999999999997,4.618544697761536,1.4604566126575182,0.0,0,1,4,7.4097877,-0.880414,2.6311026,0.985876
217,8.2,7.86243470509847,0.642062945614505,0.0,0,1,3,7.4954214,-0.897797,2.6125252,0.98581
218,8.2,6.7988600730896,2.6676234187060137,0.0,0,1,3,7.518188,-0.9056285,2.682302,0.985744
219,17.3,5.329106092453003,1.8104147638770192,0.0,0,1,4,7.4952126,-0.903079,2.6097612,0.985678
220,13.699999999999998,6.622952401638031,2.232474481797897,0.0,0,1,8,7.60124,-0.9151817,2.5915854,0.985612
221,0,6.810117721557617,0.0,0.0,0,1,1,7.3060207,-0.8723502,2.6178765,0.985546
222,18.2,8.994018713633219,1.3512883271918934,0.0,0,1,3,7.259921,-0.866616,2.4587662,0.98548
223,0,8.2915678024292,0.0,0.0,0,1,1,7.0589285,-0.8435021,2.5210736,0.985414
224,0,8.819792747497559,0.0,0.0,0,1,1,6.986997,-0.83705306,2.4977384,0.985348
225,9.1,6.3993730545043945,0.19546794891357422,0.0,0,1,2,6.9141746,-0.82907134,2.3830278,0.985282
226,0,6.255139350891113,0.0,0.0,0,1,1,6.8033576,-0.8186825,2.4458766,0.985216
227,0,10.5692777633667,0.0,0.0,0,1,1,6.770148,-0.81608033,2.4376545,0.98515
228,0,11.485757827758789,0.0,0.0,0,1,1,6.7195573,-0.8125001,2.422496,0.985084
229,0,7.574291229248047,0.0,0.0,0,1,1,6.639353,-0.80632806,2.3978417,0.985018
230,8.2,6.040605068206787,0.14519367765838703,0.0,0,1,3,6.5865726,-0.8065483,2.2716818,0.984952
231,9.1,5.867566823959351,0.6314103603363037,0.0,0,1,2,6.502969,-0.8194186,2.2815812,0.984886
232,7.299999999999999,7.368075847625732,1.405458394841499,0.0,0,1,4,6.539187,-0.83891875,2.3110905,0.98482
233,0,3.364269971847534,0.0,0.0,0,1,1,6.6810064,-0.896138,2.489824,0.984754
234,0,5.838081359863281,0.0,0.0,0,1,1,6.731826,-0.9145858,2.513593,0.984688
