episode,reward,avg_loss,loss_std,reward_std,win,lose,length,max_q,min_q,mean_q,epsilon
151,-1.0,11.242887020111084,1.5224871635437012,0.0,0,1,2,15.058316,0.061460882,7.0467925,0.8606433826830369
152,9.0,5.902973413467407,0.23385405540466309,0.0,0,1,2,15.037028,0.018494945,6.9308457,0.8597827393003539
153,9.0,6.954223394393921,0.9499809741973877,0.0,0,1,2,15.027768,-0.011988748,6.9000616,0.8589229565610536
154,8.0,8.582109769185385,1.4008505262899282,0.0,0,1,3,15.020996,-0.02303518,6.8928,0.8580640336044925
155,0,6.093836307525635,0.0,0.0,0,1,1,14.967298,-0.025095593,6.9171844,0.857205969570888
156,0,8.565235137939453,0.0,0.0,0,1,1,14.952097,-0.021523364,6.9125185,0.8563487636013172
157,24.0,6.5543631826128275,2.1122118954611415,0.0,0,1,7,14.957112,-0.0053646713,6.8371983,0.8554924148377159
158,0,7.560451984405518,0.0,0.0,0,1,1,15.157717,0.1387311,7.069754,0.8546369224228781
159,17.0,9.640275478363037,1.4964122424238704,0.0,0,1,4,15.185003,0.10699117,6.9604287,0.8537822855004553
160,16.0,7.924176406860352,2.5883011684547848,0.0,0,1,5,15.051533,0.045701493,6.8770885,0.8529285032149548
161,0,7.845418930053711,0.0,0.0,0,1,1,14.630336,0.016378254,6.85097,0.8520755747117399
162,4.0,7.74599484034947,1.989171113430255,0.0,0,1,7,14.569522,-0.06922644,6.6905255,0.8512234991370281
163,7.0,8.358319520950317,2.181159532527183,0.0,0,1,4,14.270717,-0.07855747,6.6484323,0.8503722756378911
164,31.0,7.064869022369384,1.677480158365598,0.0,0,1,10,14.167095,-0.083657,6.516981,0.8495219033622532
165,9.0,8.675216674804688,2.030691146850586,0.0,0,1,2,14.767849,-0.06798388,6.778018,0.8486723814588909
166,8.0,8.963388919830322,3.944965355076977,0.0,0,1,3,15.123004,-0.03538726,6.9319677,0.847823709077432
167,9.0,9.177461624145508,0.17560577392578125,0.0,0,1,2,15.234504,0.04883162,6.962481,0.8469758853683546
168,0,10.67031478881836,0.0,0.0,0,1,1,15.250007,0.08842192,7.08416,0.8461289094829862
169,7.0,6.794642627239227,1.83450769923277,0.0,0,1,4,15.194399,0.07445556,6.939284,0.8452827805735033
170,16.0,9.556539726257324,0.5507867527330277,0.0,0,1,5,15.013197,0.063887596,6.8066654,0.8444374977929298
171,0,5.740696907043457,0.0,0.0,0,1,1,14.417273,0.07402363,6.7624726,0.8435930602951368
172,17.0,7.937583327293396,0.9582224709373215,0.0,0,1,4,14.323436,0.07379697,6.4785104,0.8427494672348417
173,0,8.175021171569824,0.0,0.0,0,1,1,14.076066,0.08616987,6.6019964,0.8419067177676068
174,0,8.012656211853027,0.0,0.0,0,1,1,14.047264,0.07985972,6.5929933,0.8410648110498392
175,0,10.20775318145752,0.0,0.0,0,1,1,14.0291395,0.07286546,6.5861998,0.8402237462387894
176,0,7.349259376525879,0.0,0.0,0,1,1,14.01506,0.074021116,6.5842757,0.8393835224925505
177,8.0,6.502512137095134,0.22424442519049376,0.0,0,1,3,14.016438,0.06988832,6.470628,0.838544138970058
178,0,12.58773136138916,0.0,0.0,0,1,1,14.199814,0.073975876,6.6913605,0.8377055948310879
179,16.0,8.084486484527588,0.8256190522925129,0.0,0,1,5,14.280009,0.06506019,6.6245337,0.8368678892362568
180,-1.0,5.673589706420898,0.8856620788574219,0.0,0,1,2,14.745537,0.07145479,6.952176,0.8360310213470206
181,9.0,8.934852361679077,1.0257704257965088,0.0,0,1,2,14.876467,0.055860963,6.943634,0.8351949903256736
182,8.0,9.75756867726644,2.7008912844594812,0.0,0,1,3,15.135363,0.055745844,7.0457754,0.8343597953353479
183,8.0,8.724725723266602,2.4026578266454304,0.0,0,1,3,15.153391,0.051583204,7.05398,0.8335254355400126
184,0,10.614940643310547,0.0,0.0,0,1,1,15.009469,0.052541867,7.0837374,0.8326919101044725
185,0,5.913058280944824,0.0,0.0,0,1,1,14.920784,0.05013685,7.0360336,0.831859218194368
186,0,18.14270782470703,0.0,0.0,0,1,1,14.842523,0.051370323,6.993046,0.8310273589761736
187,-1.0,9.071102142333984,0.14342689514160156,0.0,0,1,2,14.70685,0.051645968,6.907833,0.8301963316171974
188,0,6.208117961883545,0.0,0.0,0,1,1,14.483368,0.06878201,6.8384047,0.8293661352855802
189,8.0,6.606326580047607,0.8772915413366998,0.0,0,1,3,14.416707,0.07252139,6.714263,0.8285367691502946
190,0,6.899143218994141,0.0,0.0,0,1,1,14.35363,0.08604387,6.803103,0.8277082323811443
191,15.0,7.136170864105225,2.5906603831506887,0.0,0,1,6,14.349225,0.06429049,6.6093087,0.8268805241487632
192,9.0,7.644245147705078,0.15764474868774414,0.0,0,1,2,14.527058,0.0525758,6.7852983,0.8260536436246144
193,9.0,8.037443161010742,1.9800071716308594,0.0,0,1,2,14.639403,0.043068677,6.829322,0.8252275899809898
194,8.0,10.396038691202799,2.1389466426130004,0.0,0,1,3,14.713468,0.021414217,6.8393297,0.8244023623910088
195,9.0,8.544867038726807,1.71500825881958,0.0,0,1,2,14.741212,-0.011445459,6.8949,0.8235779600286178
196,16.0,9.380325222015381,2.364271791293316,0.0,0,1,5,14.673459,-0.03646918,6.774752,0.8227543820685892
197,18.0,9.947734832763672,2.5736429449739684,0.0,0,1,3,14.436404,-0.024063908,6.679054,0.8219316276865206
198,0,10.635680198669434,0.0,0.0,0,1,1,14.273578,0.008142386,6.795072,0.8211096960588341
199,-1.0,7.31590723991394,0.4773099422454834,0.0,0,1,2,14.199477,0.021788664,6.746717,0.8202885863627752
200,-1.0,7.825857639312744,0.42852067947387695,0.0,0,1,2,14.102011,0.05262001,6.7012644,0.8194682977764125
201,18.0,8.073269844055176,1.6338147812455006,0.0,0,1,3,14.053308,0.07156992,6.4621444,0.818648829478636
202,0,27.761905670166016,0.0,0.0,0,1,1,13.948858,0.09056572,6.6044106,0.8178301806491574
203,8.0,34.888379414876304,2.058020031376529,0.0,0,1,3,14.229206,0.08450903,6.636293,0.8170123504685082
204,9.0,24.429869651794434,6.4937238693237305,0.0,0,1,2,15.385067,0.07920691,7.2727456,0.8161953381180397
205,9.0,18.198471069335938,0.20822906494140625,0.0,0,1,2,16.697727,0.093574345,7.953208,0.8153791427799216
206,8.0,11.805638631184896,3.257520618546749,0.0,0,1,3,18.992886,0.082113855,8.863989,0.8145637636371417
207,0,6.731157302856445,0.0,0.0,0,1,1,20.51919,0.0687963,9.902278,0.8137491998735046
208,-1.0,7.337402820587158,0.18453073501586914,0.0,0,1,2,21.943356,0.02320027,10.46583,0.812935450673631
209,0,16.29344940185547,0.0,0.0,0,1,1,22.564314,-0.009193853,10.979962,0.8121225152229574
210,18.0,9.021905899047852,0.8094196325954851,0.0,0,1,3,23.009127,0.004095316,11.160787,0.8113103927077344
211,0,11.464235305786133,0.0,0.0,0,1,1,23.582912,0.06745456,11.683007,0.8104990823150267
212,27.0,11.377032041549683,3.5640298243553894,0.0,0,1,4,23.497093,0.08649075,11.265511,0.8096885832327116
